Unique Words,Used in Hemingway,Used in Dickens,Frequinces Hemingway,Frequinces Dickens,Hemingway Laplace,Dickens Laplace
lay,163,137,0.0013078083378799063,0.0008858770506113845,0.0011102611144584431,0.0007764761486783025
flat,55,15,0.00044128502198401744,9.699383765818079e-05,0.00037911355127849273,9.002622013661478e-05
brown,53,23,0.0004252382939118714,0.00014872388440921054,0.00036557378158997515,0.00013503933020492218
pine-needled,1,0,8.023364036073044e-06,0.0,1.3539769688517598e-05,5.626638758538424e-06
floor,59,55,0.0004733784781283096,0.0003556440714133295,0.00040619309065552796,0.00031509177047815175
forest,40,6,0.00032093456144292176,3.8797535063272316e-05,0.0002775652786146108,3.938647130976897e-05
chin,27,17,0.0002166308289739722,0.00010992634934593822,0.00018955677563924637,0.00010127949765369164
folded,20,27,0.00016046728072146088,0.00017458890778472542,0.0001421675817294348,0.00015754588523907587
arms,207,91,0.0016608363554671203,0.0005884292817929634,0.0014081360476058302,0.0005176507657855351
high,118,77,0.0009467569562566192,0.0004979016999786613,0.0008056162964667971,0.0004388778231659971
overhead,8,8,6.418691228858436e-05,5.173004675102975e-05,6.092896359832919e-05,5.063974882684582e-05
wind,86,61,0.0006900093071022819,0.00039444160647660184,0.0005889799814505155,0.0003488516030293823
blew,31,8,0.00024872428511826437,5.173004675102975e-05,0.00021663631501628156,5.063974882684582e-05
tops,18,3,0.0001444205526493148,1.9398767531636158e-05,0.00012862781204091717,2.2506555034153696e-05
pine,64,0,0.0005134952983086748,0.0,0.0004400425148768219,5.626638758538424e-06
trees,136,21,0.0010911775089059341,0.0001357913727214531,0.0009274742236634554,0.00012378605268784532
mountainside,3,0,2.4070092108219135e-05,0.0,2.7079539377035196e-05,5.626638758538424e-06
sloped,2,0,1.604672807214609e-05,0.0,2.0309654532776396e-05,5.626638758538424e-06
gently,11,21,8.82570043968035e-05,0.0001357913727214531,8.123861813110558e-05,0.00012378605268784532
steep,23,6,0.00018453737282968002,3.8797535063272316e-05,0.00016247723626221117,3.938647130976897e-05
could,775,761,0.006218107127956609,0.004920820697191705,0.005253430639144828,0.004287498734006279
see,639,468,0.005126929619050676,0.0030262077349352406,0.004332726300325632,0.002638893577754521
dark,216,157,0.0017330466317917776,0.0010152021674889589,0.0014690650112041594,0.0008890089238490711
oiled,8,3,6.418691228858436e-05,1.9398767531636158e-05,6.092896359832919e-05,2.2506555034153696e-05
road,393,70,0.0031531820661767065,0.0004526379090715103,0.0026673346286379667,0.0003994913518562281
winding,4,9,3.209345614429218e-05,5.819630259490847e-05,3.3849424221294e-05,5.6266387585384245e-05
pass,67,51,0.000537565390416894,0.00032977904803781465,0.00046035216940959836,0.0002925852154439981
stream,61,7,0.0004894252062004557,4.5263790907151034e-05,0.00041973286034404554,4.501311006830739e-05
alongside,10,7,8.023364036073044e-05,4.5263790907151034e-05,7.446873328684679e-05,4.501311006830739e-05
far,122,173,0.0009788504124009115,0.0011186622609910184,0.0008326958358438323,0.0009790351439856858
saw,392,335,0.0031451587021406337,0.002166195707699371,0.002660564743793708,0.0018905506228689105
mill,15,27,0.00012035046054109567,0.00017458890778472542,0.00010831815750814078,0.00015754588523907587
beside,111,39,0.000890593408004108,0.00025218397791127004,0.0007582271025569855,0.00022506555034153698
falling,44,30,0.000353028017587214,0.00019398767531636157,0.00030464481799164595,0.00017442580151469115
water,123,70,0.0009868737764369845,0.0004526379090715103,0.0008394657206880911,0.0003994913518562281
dam,2,0,1.604672807214609e-05,0.0,2.0309654532776396e-05,5.626638758538424e-06
white,62,83,0.0004974485702365287,0.0005366992350419337,0.00042650274518830434,0.0004726376557172276
summer,34,22,0.00027279437722648353,0.00014225762856533183,0.00023694596954905797,0.00012941269144638377
sunlight,21,4,0.00016849064475753394,2.5865023375514876e-05,0.00014893746657369358,2.8133193792692122e-05
asked,449,231,0.0036024904521967972,0.001493705099935984,0.0030464481799164595,0.0013053801919809145
yes,512,279,0.004107962386469399,0.0018040853804421626,0.003472950925104764,0.0015754588523907587
remember,78,80,0.0006258223948136975,0.0005173004675102976,0.0005348209026964451,0.00045575773944161237
built,11,5,8.82570043968035e-05,3.23312792193936e-05,8.123861813110558e-05,3.3759832551230545e-05
since,97,126,0.0007782663114990853,0.0008147482363287185,0.0006634487147373624,0.0007145831223343799
old,272,484,0.0021823550178118683,0.0031296678284373,0.0018481785624826523,0.0027289197978911358
farther,22,1,0.000176514008793607,6.466255843878719e-06,0.00015570735141795237,1.1253277517076848e-05
much,468,487,0.003754934368882185,0.003149066595968936,0.0031750759919573768,0.002745799714166751
spread,31,13,0.00024872428511826437,8.406132597042335e-05,0.00021663631501628156,7.877294261953794e-05
photostated,1,0,8.023364036073044e-06,0.0,1.3539769688517598e-05,5.626638758538424e-06
military,26,7,0.00020860746493789917,4.5263790907151034e-05,0.00018278689079498757,4.501311006830739e-05
map,25,0,0.0002005841009018261,0.0,0.00017601700595072878,5.626638758538424e-06
looked,604,515,0.004846111877788119,0.0033301217595975404,0.004095780330776574,0.002903345599405827
carefully,44,23,0.000353028017587214,0.00014872388440921054,0.00030464481799164595,0.00013503933020492218
man,591,605,0.004741808145319169,0.003912084785546625,0.004007771827801209,0.003409743087674285
shoulder,119,79,0.0009547803202926923,0.0005108342116664188,0.0008123861813110559,0.00045013110068307396
short,72,89,0.0005776822105972592,0.0005754967701052059,0.0004942015936308924,0.0005063974882684582
